Predicate; Input; Output
IsPositive; [0.28874977123159185, 0.2015194666146436, 0.5498356879415358, -0.06831985461531898, -0.9432422233472082, 0.03701810496422997, -0.4084196587842768, -0.5438259337455114, 0.8576051953992929, 0.95939316990007]; [0.28874977123159185, 0.2015194666146436, 0.5498356879415358, 0.03701810496422997, 0.8576051953992929, 0.95939316990007]
DivisibleByTwo; [-0.7576024526084266, 0.4219073581305355, 0.2848343996887963, 0.25366072271180395, 0.23219407978791473, -0.27337558005383955, 0.11228502220831449, -0.18114370590996187, 0.36723150085936274, -0.1877654471046668]; []
IsNotNaN; [NaN, 0.6700785625023289, NaN, 0.019552675358777583, 0.081559544377525, 0.11597356782249646, -0.339078170247072, -0.3777061299849347, -0.22243522552380313, 0.4537603003924968]; [0.6700785625023289, 0.019552675358777583, 0.081559544377525, 0.11597356782249646, -0.339078170247072, -0.3777061299849347, -0.22243522552380313, 0.4537603003924968]
DivisibleByTwo; [0.6525029405858567, 0.7779330922187062, 0.36897167982028334, -0.10695912979707911, 0.40324203922091995, 0.9084294011871525, 0.1731614741055989, -0.39872106613111447, 0.7797152053589105, -0.3882941061752174]; []
DivisibleByTwo; [0.9796132708114915, -0.7420304971800253, 0.1769452902647839, -0.8948318981891707, -0.09967134128584654, -0.6888348385122998, -0.9640313730468288, -0.5845682031563149, -0.1298317355350176, -0.7508359340518354]; []
IsPositive; [-0.2331630888210292, 0.05382425151399284, 0.7324637018200917, -0.36819514506214657, 0.02511397686639394, 0.7551121132790442, -0.17621500010250024, -0.630044233360993, 0.4246919159126634, -0.9926997836973235]; [0.05382425151399284, 0.7324637018200917, 0.02511397686639394, 0.7551121132790442, 0.4246919159126634]
IsNotNaN; [0.7627574429879151, NaN, NaN, -0.4367638911078804, -0.24866007568692128, -0.5433459630659137, 0.22657965973437566, NaN, NaN, NaN]; [0.7627574429879151, -0.4367638911078804, -0.24866007568692128, -0.5433459630659137, 0.22657965973437566]
IsNotNaN; [NaN, NaN, 0.020655514727038637, 0.044278632628231396, 0.7491578892406443, 0.6729402988977895, -0.591440530218162, -0.797279732994242, 0.5318148444404491, NaN]; [0.020655514727038637, 0.044278632628231396, 0.7491578892406443, 0.6729402988977895, -0.591440530218162, -0.797279732994242, 0.5318148444404491]
IsNotNaN; [-0.08476513832615074, -0.1059650134919432, -0.2085004163111288, NaN, 0.3713152849255541, -0.6936223765230842, 0.8649839198854978, 0.7530963060973854, -0.17592488952719854, -0.15340467077919273]; [-0.08476513832615074, -0.1059650134919432, -0.2085004163111288, 0.3713152849255541, -0.6936223765230842, 0.8649839198854978, 0.7530963060973854, -0.17592488952719854, -0.15340467077919273]
IsPositive; [0.3690140847363168, 0.7898657998519836, 0.38174283434624057, 0.11055246805342844, 0.9909408862987348, -0.04170489379744424, -0.7358770832496873, 0.6652477109488204, 0.7060256880478808, 0.0064729695504801565]; [0.3690140847363168, 0.7898657998519836, 0.38174283434624057, 0.11055246805342844, 0.9909408862987348, 0.6652477109488204, 0.7060256880478808, 0.0064729695504801565]
IsNotNaN; [-0.6379225861935005, -0.058142944615739545, -0.3883314103314319, NaN, 0.33693359025215686, -0.9670239222055259, 0.4535716855929943, -0.49800871058341545, -0.16809866239352655, 0.9939766751290069]; [-0.6379225861935005, -0.058142944615739545, -0.3883314103314319, 0.33693359025215686, -0.9670239222055259, 0.4535716855929943, -0.49800871058341545, -0.16809866239352655, 0.9939766751290069]
DivisibleByTwo; [0.6161140545893813, -0.3632715978228107, 0.7210970389409712, 0.36753301451029485, 0.8589831960070304, -0.7515245838652196, -0.5122109911589965, 0.08201252745589094, -0.5956289650979927, 0.07346089595050165]; []
DivisibleByTwo; [0.8019928579645792, -0.3814313795965225, -0.8861901073309517, -0.5014590717627638, 0.15856247352711916, 0.39841181972225037, 0.4409883458737507, 0.6903880365977082, 0.04043688572893567, -0.28912264643308716]; []
IsPositive; [-0.39334715396021314, -0.4162559079712751, -0.512280424055302, -0.8154529277734861, 0.013967095501244975, -0.31099650206168583, 0.18178191438794977, -0.20217465830950987, -0.6925337528149849, -0.9202167493267142]; [0.013967095501244975, 0.18178191438794977]
IsNotNaN; [0.1945980320766061, 0.7320074032316288, 0.6760083902492415, -0.36597266452135724, -0.5929648994985997, -0.010978649389554729, -0.9901077858730014, 0.62758356914924, 0.26583662952032894, 0.6276640940733229]; [0.1945980320766061, 0.7320074032316288, 0.6760083902492415, -0.36597266452135724, -0.5929648994985997, -0.010978649389554729, -0.9901077858730014, 0.62758356914924, 0.26583662952032894, 0.6276640940733229]
IsNotNaN; [NaN, -0.8829188239327852, 0.02755433103953009, NaN, 0.6581895224549876, 0.19932857396213155, -0.07130257789963634, -0.3434265421270948, -0.4626719564530868, -0.8026587981595115]; [-0.8829188239327852, 0.02755433103953009, 0.6581895224549876, 0.19932857396213155, -0.07130257789963634, -0.3434265421270948, -0.4626719564530868, -0.8026587981595115]
DivisibleByTwo; [0.8248862543983067, -0.5979695818609214, -0.51467994049386, -0.9015000926021777, -0.2421897085338458, 0.27677861231341305, 0.71950426312488, 0.15823085860595731, -0.36269163428561746, -0.40603640836396804]; []
DivisibleByTwo; [0.1887549313325514, 0.4829888395134392, 0.7669031329572371, -0.9199264772744873, 0.23979132877126785, 0.6192164481554074, 0.29463790084723174, 0.23042825239796993, 0.8705626955624555, -0.29965849100863284]; []
DivisibleByTwo; [-0.16292005300879198, -0.8472086817266802, -0.16873087502541795, -0.45823248024582863, 0.5028694365791733, -0.7998087169249126, 0.9683422007142335, 0.2242000502459971, 0.3332089756690868, 0.7506795769342878]; []
DivisibleByTwo; [-0.8460242583166477, 0.16854493717711327, -0.2197954674539564, -0.1391075927902632, -0.09643691378341557, -0.5189969170743018, 0.25998395561523746, -0.798075045407638, -0.644337796430656, -0.5651212697477206]; []
IsPositive; [-0.9539649408705095, -0.3198328930233676, -0.326124395870375, -0.6439930089571713, 0.8092206714499022, -0.5476101907649327, 0.12729844206782115, 0.8915989202073373, -0.03555634886821979, 0.6635126482494578]; [0.8092206714499022, 0.12729844206782115, 0.8915989202073373, 0.6635126482494578]
IsNotNaN; [-0.8840473172901762, 0.6676914231707738, 0.6499512699638967, -0.8328767597227951, -0.7701078474368059, -0.3217189745516198, NaN, NaN, 0.06542704020294954, NaN]; [-0.8840473172901762, 0.6676914231707738, 0.6499512699638967, -0.8328767597227951, -0.7701078474368059, -0.3217189745516198, 0.06542704020294954]
IsPositive; [-0.18712095906583026, 0.802208851275122, -0.030815518682227427, 0.585969183746482, 0.7938947392972986, -0.2793879569393025, 0.14048515142084428, 0.9787542075916309, -0.47924400946067913, -0.43898767339351563]; [0.802208851275122, 0.585969183746482, 0.7938947392972986, 0.14048515142084428, 0.9787542075916309]
IsPositive; [0.5947832755411206, 0.74843944682777, -0.0574611997863792, 0.14111712204219162, -0.6243187519847584, -0.6105217818406588, 0.8162456897963639, 0.6488903704202937, 0.10029794550586857, -0.9989345468145034]; [0.5947832755411206, 0.74843944682777, 0.14111712204219162, 0.8162456897963639, 0.6488903704202937, 0.10029794550586857]
IsPositive; [0.8125804350011114, -0.5928702711698828, 0.43253319970791204, 0.4120711172404845, -0.6611658140861743, -0.25957538002728153, -0.5989623295147282, 0.4463491394180108, 0.4615130478206133, 0.6518312798752808]; [0.8125804350011114, 0.43253319970791204, 0.4120711172404845, 0.4463491394180108, 0.4615130478206133, 0.6518312798752808]
IsNotNaN; [0.6134635616984907, NaN, 0.10235105665111432, NaN, -0.6341646864128383, NaN, NaN, -0.17743274963186528, 0.4056475013988208, -0.48999264947420773]; [0.6134635616984907, 0.10235105665111432, -0.6341646864128383, -0.17743274963186528, 0.4056475013988208, -0.48999264947420773]
DivisibleByTwo; [0.6246633508757657, 0.0824854335975016, -0.32043980713010933, -0.6871204137851681, 0.48509172585818994, -0.7903347704786932, -0.21866951261619128, 0.29880054438418013, -0.7388949532485354, -0.010005897563498012]; []
DivisibleByTwo; [-0.9871185371326952, 0.5391097643704423, -0.8925931489145558, 0.07449642683655822, -0.01882157771689208, 0.1009297855780249, 0.09320418960316212, 0.2622615889514752, -0.5241546417835219, -0.229318624679262]; []
IsPositive; [0.24429607128146325, -0.45915751313998543, -0.9927777170602403, -0.14861623559923065, 0.22427032599102792, -0.6487719720691494, 0.8318280088117569, 0.8963513256778315, 0.5100950276946647, -0.5863694497363086]; [0.24429607128146325, 0.22427032599102792, 0.8318280088117569, 0.8963513256778315, 0.5100950276946647]
DivisibleByTwo; [-0.4480399759340874, -0.48271437310063314, -0.16659487380354632, 0.6319731440708034, 0.4484271824869772, -0.007344574709484464, -0.6126979880503349, -0.9109007616789793, 0.5901783898670374, 0.30264496730650325]; []
DivisibleByTwo; [-0.1605021867259535, 0.9513705710771245, -0.5381455290656936, -0.5701556731803341, -0.45384733705886693, -0.7795426487750099, 0.36005668951018355, -0.709756508406135, 0.5267691402390209, -0.2982328688169307]; []
DivisibleByTwo; [0.13139140897202362, -0.5030152568105553, -0.2609770007208576, -0.696901252921855, 0.9601153448204622, 0.309717165187253, 0.983424952398636, 0.8337483700681838, -0.1395285249966327, 0.5852880146223334]; []
IsPositive; [-0.6287752513524383, 0.8434349386833235, -0.7114279441571469, -0.6791030201184902, -0.2950168192947804, 0.7220540934041328, -0.1390497740176191, -0.5312712995369431, 0.349754528899483, 0.2754085918423135]; [0.8434349386833235, 0.7220540934041328, 0.349754528899483, 0.2754085918423135]
IsNotNaN; [-0.4483330229567999, -0.8985289215097476, -0.7861638772967121, -0.7012944572607616, 0.9371269601415246, -0.2789840321459962, 0.311559456443232, 0.2887501328435542, -0.9324791326274156, 0.5280308044020539]; [-0.4483330229567999, -0.8985289215097476, -0.7861638772967121, -0.7012944572607616, 0.9371269601415246, -0.2789840321459962, 0.311559456443232, 0.2887501328435542, -0.9324791326274156, 0.5280308044020539]
IsPositive; [0.04661014331476698, 0.36740692876762915, -0.6339206587668826, 0.8079796627056612, -0.16711784764672388, 0.7330399782938168, -0.40791267615311977, 0.23956268442116846, -0.039113872750216494, -0.48671592271820385]; [0.04661014331476698, 0.36740692876762915, 0.8079796627056612, 0.7330399782938168, 0.23956268442116846]
IsNotNaN; [0.35087448184750136, 0.8944341777513776, 0.7212470810096427, NaN, NaN, 0.9724495528143722, 0.7128429493974795, NaN, -0.9767820953411592, 0.9045822862520296]; [0.35087448184750136, 0.8944341777513776, 0.7212470810096427, 0.9724495528143722, 0.7128429493974795, -0.9767820953411592, 0.9045822862520296]
IsNotNaN; [NaN, NaN, -0.19678413819374208, -0.643957189959147, NaN, -0.2775335665672962, NaN, -0.12497852500537188, 0.6285211854193484, 0.05927113514310278]; [-0.19678413819374208, -0.643957189959147, -0.2775335665672962, -0.12497852500537188, 0.6285211854193484, 0.05927113514310278]
IsNotNaN; [0.4649991668081386, 0.45786853234840486, 0.7223218736577761, 0.16674479790643693, 0.7750304600961258, NaN, 0.7349994981296919, -0.41129365646523275, 0.01750557520906515, NaN]; [0.4649991668081386, 0.45786853234840486, 0.7223218736577761, 0.16674479790643693, 0.7750304600961258, 0.7349994981296919, -0.41129365646523275, 0.01750557520906515]
DivisibleByTwo; [-0.9918508597847457, 0.061980667062669914, -0.49166369727089165, -0.6161075329566954, -0.828877589496013, -0.1848063489272278, 0.42783201234408175, 0.6083676052805089, -0.6349862947713654, 0.3676529073413992]; []
DivisibleByTwo; [0.7132318646062874, -0.8877643570995011, 0.28245206249006416, -0.5502864305350401, -0.2918870770121076, 0.665943950203916, -0.20159392602660087, 0.9726682122747163, -0.20592289314126, -0.440076850254026]; []
IsPositive; [0.8207248439433676, -0.40465879785911496, 0.23988564137979718, -0.5775927744293192, 0.6551535913811875, -0.6337915994559664, 0.3254744452816063, -0.4039146541945102, 0.6580790870582087, -0.8359963418080538]; [0.8207248439433676, 0.23988564137979718, 0.6551535913811875, 0.3254744452816063, 0.6580790870582087]
IsNotNaN; [0.43305100053512735, -0.21419457184106117, 0.2412735924124656, 0.21641391868120863, NaN, 0.6524388206945686, -0.6035754830580571, 0.8456059529190401, 0.44599068537576403, NaN]; [0.43305100053512735, -0.21419457184106117, 0.2412735924124656, 0.21641391868120863, 0.6524388206945686, -0.6035754830580571, 0.8456059529190401, 0.44599068537576403]
IsPositive; [0.8232495191864724, 0.7709675032558467, -0.5937023829475803, 0.21826059926330066, 0.47351549199323495, -0.20641258359565584, -0.8065952509884629, 0.048093696216840565, -0.13570772132652253, -0.5063611047975709]; [0.8232495191864724, 0.7709675032558467, 0.21826059926330066, 0.47351549199323495, 0.048093696216840565]
DivisibleByTwo; [-0.02538675553101899, 0.9404646072478262, 0.8672910268704683, -0.3090289139907374, 0.3684308414085693, -0.43311313517670724, -0.1528506691787863, -0.14914515574838783, -0.3678597851851797, -0.13215637472347797]; []
DivisibleByTwo; [-0.9999562063757663, -0.6390307781977667, -0.294391266310863, 0.680670093675332, 0.5350243620658044, -0.3376445399678847, 0.07892981354328032, 0.8785383559040814, -0.05601895092353337, -0.41379348815240946]; []
IsPositive; [0.21125167239795228, 0.4241707241013115, 0.022169780779309756, 0.9300000600227765, -0.19958498166168037, -0.17020312507499868, -0.4702609865320817, 0.30062415106267326, 0.5877875658341496, 0.9152625722388701]; [0.21125167239795228, 0.4241707241013115, 0.022169780779309756, 0.9300000600227765, 0.30062415106267326, 0.5877875658341496, 0.9152625722388701]
IsPositive; [-0.5742856617387566, -0.44121492406152396, 0.5799470776690858, 0.4690862853547617, -0.5405853233633464, 0.8181272397428794, 0.5786324159523919, -0.5573475614567069, 0.570288782378443, 0.8841363789679602]; [0.5799470776690858, 0.4690862853547617, 0.8181272397428794, 0.5786324159523919, 0.570288782378443, 0.8841363789679602]
IsNotNaN; [-0.267353770087299, -0.3543802887802425, 0.025676065010936, 0.26203738906083096, -0.5398413745966495, NaN, 0.5170120113734178, -0.5804616678724717, NaN, 0.8613607326663335]; [-0.267353770087299, -0.3543802887802425, 0.025676065010936, 0.26203738906083096, -0.5398413745966495, 0.5170120113734178, -0.5804616678724717, 0.8613607326663335]
DivisibleByTwo; [-0.4614856950707349, -0.1405858729712326, 0.40732013128097866, -0.5173753365407756, -0.7116003038276026, -0.261437578113066, -0.15833106384142193, -0.2994322710222719, 0.06119993118124034, -0.7356936783219279]; []
IsPositive; [-0.040502423707884816, 0.5545876692783092, -0.35924158014150454, -0.09464226737202264, 0.3213707396628358, -0.8230590388338255, -0.442994341305073, -0.4260027403514617, 0.31312590104951465, -0.8893303236214423]; [0.5545876692783092, 0.3213707396628358, 0.31312590104951465]
IsNotNaN; [0.23562800299579112, -0.6323341074252748, -0.6371085370275029, -0.46256548199774317, -0.9517417996251538, NaN, 0.6676660333842406, -0.513151588421983, 0.06183358825477514, NaN]; [0.23562800299579112, -0.6323341074252748, -0.6371085370275029, -0.46256548199774317, -0.9517417996251538, 0.6676660333842406, -0.513151588421983, 0.06183358825477514]
DivisibleByTwo; [-0.9467000572138844, -0.4382040875547124, -0.11071821885005861, -0.7259982593445364, 0.35148438458185893, 0.48961323580862826, 0.45971103219348164, -0.7039899623156376, 0.24961995305432683, 0.8968957354588671]; []
DivisibleByTwo; [0.7547959163344848, -0.2955881798209672, 0.9542018731418567, 0.1060886376283845, -0.4009325392331857, 0.8692177737052251, 0.20562472946093147, -0.5350903077606073, 0.4453292847974055, -0.371744187877179]; []
IsPositive; [-0.8079249316223693, -0.2549594184497048, 0.7624396870521939, 0.6009825927361967, -0.26755431244242134, 0.4844159493823206, -0.8887866769745516, 0.3417977371261398, 0.7329722324389154, -0.20216989624794945]; [0.7624396870521939, 0.6009825927361967, 0.4844159493823206, 0.3417977371261398, 0.7329722324389154]
IsNotNaN; [0.28521298851397514, 0.42496178038177335, NaN, NaN, 0.9967169384419758, -0.5776381083911277, -0.29249354925735305, 0.8083749490998378, -0.49583719181569563, 0.9170073185819287]; [0.28521298851397514, 0.42496178038177335, 0.9967169384419758, -0.5776381083911277, -0.29249354925735305, 0.8083749490998378, -0.49583719181569563, 0.9170073185819287]
DivisibleByTwo; [0.5426947793336256, -0.5362819404001353, 0.30588562534010766, -0.8107203493628057, -0.8671112961000671, -0.9588170285020534, -0.4340182868299063, 0.019601591210948843, 0.185288535280282, 0.39461713940460763]; []
DivisibleByTwo; [0.2916470821465913, -0.8296702069800961, -0.02393727160157888, -0.2634810293338663, 0.4473541897649447, -0.4586822740080114, -0.20005962811972577, 0.6768146255184149, 0.16974582361355317, -0.26226567465151374]; []
IsPositive; [-0.9173147805176893, -0.15823189378891178, 0.03814192150008178, -0.15463338722958797, 0.4365423739271519, 0.5137596549773018, 0.9590694677998082, 0.5777725342026847, 0.698512701948659, 0.508057964425324]; [0.03814192150008178, 0.4365423739271519, 0.5137596549773018, 0.9590694677998082, 0.5777725342026847, 0.698512701948659, 0.508057964425324]
