Operator; Left array; Right array; Expected result
DoubleProductOfTwo; [0.392730040916353, 0.01746521158766834, 0.40166280103114893, -0.6357556931507906]; [0.36407932084360395, 0.05471529219082272, -0.742433996754507, -0.8061196408175855, -0.2637385818984046]; [0.14298488657170658, 9.556141551938159E-4, -0.29820811871716624, 0.5124951510104504]
DoubleSumOfTwo; [-0.8765520406420031, -0.18760748259062487, 0.6338924863750839]; [0.3818777059205427]; [-0.4946743347214604]
DoubleProductOfTwo; [0.3022705177258196, -0.9207769684683291]; [0.08349541029564578, -0.21437074361799247, 0.39618196557006025, 0.3544088522837501, -0.9735434024194074]; [0.025238200897794577, 0.1973876434368765]
DoubleSumOfTwo; [-0.597940614773754, -0.3050131260450075]; [0.76548571781369, -0.40413056897390764, 0.15097783318973224, -0.3458644283983272, 0.08497369182912107, -0.27406613388774037]; [0.16754510303993597, -0.7091436950189152]
DoubleSumOfTwo; [-0.712067187328906, -0.9223587385554615, -0.4203444644446557, 0.854184519411437, 0.2171746175524627]; [0.04092827796913312, -0.22374557608976398, -0.17294052851091446, 0.2071326307902901, 0.012168641453832452, -0.801741121135445, 0.91365545374544, 0.4235059517025126, 0.4138669722216588]; [-0.6711389093597728, -1.1461043146452254, -0.5932849929555701, 1.0613171502017271, 0.22934325900629515]
DoubleSumSqrtsOfTwo; [0.364972002161269, -0.3530306125091316, 0.21264596627573007, 0.21215758901427528]; [0.6426897164554581, -0.4111217477295368, -0.8520131497147749, 0.02947951861772391, -0.10075908572555115, 0.05456309177425456, -0.005141074705472981, -0.25300013213698436]; [1.4058084372920403, NaN, NaN, 0.6323016826840059]
DoubleSumOfTwo; [0.33695057193964684, -0.665964479852956, -0.5459026707268446, 0.5963578320484169]; [0.36541471271382764, 0.012879170564522369, -0.6875638038357696, -0.6639947555488817, -0.07569496954809907, 0.6212703466751202]; [0.7023652846534745, -0.6530853092884337, -1.2334664745626143, -0.0676369235004648]
DoubleSumOfTwo; [0.45775836959645066, -0.7343769570393397, -0.7222517894789189, -0.9702038039294014, 0.1098461677658813]; [0.5527950902774732, 0.9756535187525162]; [1.0105534598739239, 0.24127656171317646]
DoubleSumOfTwo; [-0.23745801649412446, 0.572359495462188, 0.6293253376814105, -0.5863097462508808, -0.2876290064995173, -0.17065605027569397, 0.2602863324947202]; [0.22244539489879078]; [-0.015012621595333675]
DoubleSumOfTwo; [0.6202752903362265, 0.38965037201852026, 0.2970905593550348, 0.5776182774985246, 0.12012740548147516, 0.925225134870461, 0.09657925733500372]; [-0.5530602944246061, 0.15211668708660286, -0.5456905396811673, -0.878673235157406, -0.2241718452387529, 0.1126076260589004]; [0.06721499591162039, 0.5417670591051231, -0.2485999803261325, -0.30105495765888146, -0.10404443975727773, 1.0378327609293614]
DoubleProductOfTwo; [-0.9118377123161203, 0.3320606815983489, 0.6626269766239139, 0.23510906099003392, -0.30999805947333603, -0.3586974305245092, 0.6855912752034716, 0.3864986607347556, -0.8125628070548676]; [-0.08196431617291489, -0.2823753220166214, 0.7145979056572036, 0.7347391515550559, 0.816410251494786, -0.19890860548339373]; [0.07473815455066589, -0.09376574189539257, 0.47351184972741367, 0.1727438319947234, -0.25308559369752187, 0.07134800569610664]
DoubleSumSqrtsOfTwo; [-0.6023531659138319, 0.438880892999828, -0.9527999786432781, -0.04614116710982619, -0.8768180696929757, 0.9433524584356558, -0.3810742986116078]; [-0.8609459591655009, -0.1367282459643231, 0.8063343839513017, -0.9537339476623308]; [NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [0.054844189031730606, -0.9849805523480855, 0.31489384031472256, 0.5565782326609252, -0.1131191152646216, -0.9603061088903975]; [-0.8555576878921014]; [-0.8007134988603708]
DoubleSumSqrtsOfTwo; [0.9210543038193715, 0.7148755854151847, -0.6391956998320232, 0.1027757080400098, 0.6952421753356506, -0.1238988410279509, -0.5291133397841246, 0.09059201946135498]; [0.3743634602877606, -0.7375568736395286, -0.0512772624526161, 0.365462706171668]; [1.5715682236104684, NaN, NaN, 0.9251216220760055]
DoubleSumOfTwo; [0.25206331342679045, 0.26395317519877315, -0.596833537076985, -0.786189139332522, -0.3830690117465936, -0.1293169635801592, 0.2367046325341442, -0.784472811182719]; [-0.6706679570218563]; [-0.4186046435950659]
DoubleProductOfTwo; [-0.694091633434931, 0.5613329933819422, 0.4284337081719467]; [0.7917974246010093, -0.5123224324075253]; [-0.5495799677908861, -0.2875834845600339]
DoubleSumOfTwo; [-0.39871906032112947, 0.024882211908940466, -0.1405834347739765, -0.39805009493293597, -0.5184279411217421, 0.18035385107449975]; [0.3323861419662575, 0.11941584753735368, -0.5716399459431729, -0.6559967604158436, 0.3310676785580833, -0.3005811261304039, -0.9035663795119733, -0.5863309297361179, 0.07461172315883013]; [-0.06633291835487198, 0.14429805944629415, -0.7122233807171494, -1.0540468553487796, -0.18736026256365879, -0.12022727505590414]
DoubleSumSqrtsOfTwo; [0.5982284888100913, -0.008764205951256265, 0.7929517665385752, -0.6325915012728054, -0.5647597031905629, -0.2328021736346646]; [0.8255357526901066, -0.5566711973989571, -0.5304918392487339, -0.4388607073003594, 0.6820132908086836, 0.7259210435209751, 0.900341543356842]; [1.6820422988955634, NaN, NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [-0.5410592254408066, -0.5829562041181167, -0.4665652994839806, -0.8704711304538328, -0.30435288057619725]; [-0.3802381297230084, 0.7907424600031723, -0.5909242460275004, -0.7463866707689957, 0.8479241671979716, 0.40593736510817546, -0.1528235985967792, -0.8497414724812438]; [-0.9212973551638151, 0.20778625588505562, -1.057489545511481, -1.6168578012228285, 0.5435712866217743]
DoubleSumSqrtsOfTwo; [0.8663641592938689, 0.12758332226581515, -0.6435377472058752, 0.8964449208852729]; [0.6029021520423672, -0.5806980366289403, 0.8024024508535954, -0.6415457166331653]; [1.7072545900526204, NaN, NaN, NaN]
DoubleProductOfTwo; [0.689934964993435, -0.8284195947206892]; [0.34605735254899295, -0.42901480745121945, -0.5224912037179832, 0.9163883957245618, -0.2257852747935165, 0.9255490936186777]; [0.23875706741661024, 0.3554042729179137]
DoubleProductOfTwo; [0.48375714519186697, 0.6183968545177205, -0.5287328837047003, -0.4019042943670459, -0.6088377491063794, 0.0872916893085347]; [-0.38898428892467374, -0.9183491240012054, 0.9021784685908181, -0.411118603012834, 0.13291540638284238, -0.7457954474864972, 0.03533293968853046, 0.32839854351264974, 0.11610285594547887]; [-0.18817392913468853, -0.5679042096314495, -0.4770114233143136, 0.1652303320450387, -0.08092391684368945, -0.06510174448971091]
DoubleSumOfTwo; [0.5390384280915383, 0.7729974098081174, -0.8623999949270755, 0.27587880013706956, -0.595864133955373, -0.635396501816913, -0.0820277343084117, 0.4811418821231044]; [0.6992712910905825]; [1.2383097191821208]
DoubleProductOfTwo; [0.044150842685153124, -0.8244477004169057, -0.5723980440232688, -0.8561727630453504, -0.5615627892517008, 0.32857813384900925, -0.09957334341195323]; [0.6553427817249664, 0.5225160663291082, -0.622615759240764, 0.421304905161052, 0.14824731246243372, -0.37853328632991556, 0.9966625716288144]; [0.028933936060789634, -0.43078716931592065, 0.3563840427674757, -0.3607097847362972, -0.0832501742854727, -0.12437776082201633, -0.09924102451063638]
DoubleSumOfTwo; [0.49873758741021446, -0.0658098765447519, 0.6626394269848717, -0.8565885947113627, 0.1866954803476264, -0.08017399408384618, -0.34988412830989635, -0.13040217032956414, -0.794389117532547]; [-0.5751269475158185, -0.8367955976715269, 0.18676354872241618, 0.4909989969068913, 0.6327098739158454]; [-0.07638936010560404, -0.9026054742162788, 0.8494029757072878, -0.3655895978044714, 0.8194053542634718]
DoubleProductOfTwo; [-0.4266331510218544, -0.44949502247861584, -0.29116800286988864, -0.5622659600860813, 0.6290513367710542, -0.18403585961349944, 0.01311805544766953]; [0.7681554632503271]; [-0.3277205857611393]
DoubleSumSqrtsOfTwo; [0.07548565463513279, -0.6388321610630605, 0.11996460827247768]; [0.3398526827858819]; [0.8577153803055614]
DoubleProductOfTwo; [-0.9434387675707716, -0.5167431334092749, -0.36626573142475016, -0.7636275758492943, -0.81148212924669, 0.14335024262654317]; [0.48472863499138463, -0.287893980472679, -0.599783247073679, -0.3310084475732966, -0.6758346385182117, 0.18012965412705073, -0.09763264860562582]; [-0.4573117860025343, 0.14876723755912075, 0.2196800496857527, 0.25276717840603474, 0.5484277314834255, 0.025821629623348025]
DoubleProductOfTwo; [-0.8811710022406389, 0.7710392543397719, 0.4731483507208192, -0.021847974883523635, 0.6723824963375158, -0.48321059531299015, -0.8445634181851671]; [-0.31972937130777135, 0.6284553984222461, 0.46751943407770225]; [0.28173625056103824, 0.4845637817852929, 0.22120604916379558]
DoubleSumSqrtsOfTwo; [0.9156221270056688, 0.9745045598088942, -0.6210490028023838, 0.3398488089651297, -0.1153880538731149, -0.6125207369018497, -0.9294428253957465, -0.5747011304782232]; [0.09991296348673973, 0.7963810702992797, 0.574965321405742, 0.5994471669793227, -0.7229469704963352, -0.3590373197400343]; [1.2729715784723168, 1.879571829850719, NaN, 1.3572052646491906, NaN, NaN]
DoubleSumOfTwo; [0.8589941558369338, 0.07591126535015613, 0.5507609832096902, 0.5432504948846091, -0.1208101847765779, 0.8915503646655984]; [0.9130174174355135, -0.9120560747318862]; [1.7720115732724473, -0.8361448093817301]
DoubleProductOfTwo; [0.7211794905587487, -0.34189692703844354, 0.7020412063514372, -0.6534241617444823, -0.13774351563232834, -0.2731944017696202]; [-0.31427001027004686, -0.378918899722388, 0.15637940421077579, -0.41363462907432]; [-0.22664508590444513, 0.1295512074118726, 0.10978478558065205, 0.2702788607713774]
DoubleSumSqrtsOfTwo; [0.03502538139983202, -0.1625019067610649]; [-0.5760290899967557, 0.05098991351873261]; [NaN, NaN]
DoubleProductOfTwo; [0.7971277670406807]; [0.03810669272138645, 0.3746035626494626, -0.40599750913822685, 0.3554376620470725, -0.4996158888949902, 0.9988653612070328]; [0.030375902878304138]
DoubleSumOfTwo; [0.04390135227458569]; [0.8025545879743994, 0.1537374558158502, 0.5363987705638564]; [0.8464559402489851]
DoubleProductOfTwo; [0.7835487931607092, -0.8453831908071403, 0.17005160740514214, 0.6603113157766971, 0.5795048435905268]; [0.8997189108444019, -0.12833275771070918, 0.6138587718376447, 0.21734673295128637, -0.4999026335146859, 0.4304832162586556, 0.6935043537642354, 0.23014567174877354, -0.8427734783280483]; [0.7049736667759989, 0.10849035619855896, 0.10438767087073787, 0.1435165072148303, -0.28969599744542046]
DoubleProductOfTwo; [0.22445546793511073, 0.693162002374927, 0.18109867870859153, -0.5990778539310453]; [0.17284210950266643, 0.7076330842636163, -0.8023574157548969, 0.8780008911614094, -0.11087664739926151, -0.9610495949432458, -0.24679534467036435, 0.09299884549677984, -0.92939772918558]; [0.038795356567312644, 0.4905043656349137, -0.14530586784525187, -0.5259908896265224]
DoubleProductOfTwo; [-0.1424541404052666]; [0.05407329669152716, 0.7929041096395655, -0.8137289824543881, -0.2591384999259321, 0.8126988764054646, -0.8101870612393363]; [-0.007702964999070448]
DoubleSumOfTwo; [-0.7703946995292792, -0.7547735245232023]; [-0.3249348114536008, -0.7201298556926765, 0.07052724405234012, -0.737473790643532, -0.8814026283745935]; [-1.09532951098288, -1.4749033802158789]
DoubleSumSqrtsOfTwo; [-0.8561903227017345, 0.7708564385223693, 0.07139211959511083, -0.7515969626030923, -0.69613675651393, -0.8798550724790402]; [-0.28665499912853676, -0.406530887893342, -0.03624261136585183, -0.3961274983878944, -0.39247390664231463, -0.2592332503445878, -0.7270254713921034, -0.9664455061336017, -0.8366448057596498]; [NaN, NaN, NaN, NaN, NaN, NaN]
DoubleProductOfTwo; [-0.5559564494675202, -0.3665953150041117]; [-0.8516060407220292, -0.441342876166984, 0.7054116059468327, -0.49403169776901334, 0.6406878505130511]; [0.47345587074491174, 0.16179423071325616]
DoubleProductOfTwo; [-0.17849915394404126, -0.7483334234391461, 0.17674444011512525, 0.26227385987174423, -0.11280100234047685, 0.8136031296823605, 0.5065909787188834, -0.06311475688527879, -0.6023806770528914]; [0.6654175808694527, -0.18480373261417626, 0.13335578723089303, -0.3318386644598248, 0.9926195590326956, -0.2600440608968695]; [-0.11877647520468795, 0.1382948098914991, 0.023569893950235957, -0.08703260738256284, -0.1119684812016502, -0.21157266180100334]
DoubleProductOfTwo; [-0.8528020967817864, -0.5315443917540099]; [-0.16929973095129403, 0.16202078972336786, -0.606846039434964, -0.9539541499395798, -0.44686580529114295, 0.10631511570427898, -0.6711016933441372]; [0.14437916553985586, -0.08612124212501192]
DoubleProductOfTwo; [-0.8319824884698435, 0.186119605784429]; [-0.10072234218581677, -0.7898527436359895]; [0.08379922489626693, -0.14700708127328002]
DoubleProductOfTwo; [0.8637388905417702, -0.8112100965908107, -0.19246854260306678, 0.5200110619957439, -0.9774154892734466, 0.7614573964313471, 0.8826401451635073, 0.6205001306780924, -0.966285903871472]; [0.2307787496951912, -0.19843615894694633, -0.058322871996650205, 0.25068198043896284, 0.6095588119131745, -0.8806214998515809, 0.8540227719204199, -0.7781430109998779]; [0.19933258122234132, 0.16097341566646178, 0.01122531817362048, 0.13035740287126135, -0.5957922243870563, -0.6705557545184527, 0.7537947833807803, -0.4828378400116685]
DoubleSumSqrtsOfTwo; [-0.9597610383510171, -0.4597227759564766, -0.7378368275505685, -0.6516658826684261, 0.5049428259865814, -0.4351750122081184, -0.08681688018453082]; [-0.08577608670377335, 0.9212816517320745, 0.18589039309373412, 0.4303290543398486, 0.2799074205381833]; [NaN, NaN, NaN, NaN, 1.2396560671553836]
DoubleProductOfTwo; [-0.45805144211968196, 0.18263269715677666]; [-0.8370172024784361, 0.4370483884435108, -0.5625399206564632]; [0.3833969366742295, 0.079819325969461]
DoubleProductOfTwo; [-0.9986259701326041, 0.0863656740357952, -0.905142394203936, 0.7652305042479952, -0.7858590870347661, 0.18951035251049153, -0.9996933582787393]; [0.5144936827821416]; [-0.5137867530954124]
DoubleSumSqrtsOfTwo; [-0.8898884769198683, -0.9423836627469717, 0.2906923626169704, 0.46541445973069195, 0.102159231650367, 0.684983182679952]; [0.33515570167910935, 0.21205959260477014, -0.6798652740235815, -0.05270718057398405, 0.7424624308629679, 0.27272772101549836]; [NaN, NaN, NaN, NaN, 1.181286174938208, 1.349870505155609]
DoubleSumSqrtsOfTwo; [-0.9855165262345467]; [0.6170916773923649, 0.9955555639243703]; [NaN]
DoubleSumOfTwo; [-0.4525361012108631, -0.7917523298832763, 0.3239002450011086, -0.48090666846625707, -0.3185853266684091]; [0.4124551110216754, 0.4404572330378238, 0.8943887363864098, 0.2540053985942887, -0.840649610395086]; [-0.04008099018918765, -0.35129509684545246, 1.2182889813875184, -0.22690126987196835, -1.1592349370634951]
DoubleSumSqrtsOfTwo; [-0.48081816596579685, 0.40687069006908505, -0.8622482433987033, 0.609877513199202]; [-0.39198255070270016, 0.1443892865231602, -0.1431557683626219, -0.4437246846401779, -0.45760280147667354]; [NaN, 1.0178500657679639, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.46039117404880936, 0.32447292508890957, -0.23239910288450094, 0.1401501806050538, 0.7741939674203091, 0.9491878757604317, -0.18455090608437552]; [-0.8812544164216838, 0.40129181968103644, 0.774419076224069, -0.7309110598310604, 0.5093494956666123, -0.6101722312343103, 0.05160695490909473, 0.4636919178258845]; [NaN, 1.2031012316230623, NaN, NaN, 1.593570181647567, NaN, NaN]
DoubleSumOfTwo; [0.3597477209568638, -0.8149297393005797, 0.44622373963420014, -0.07772104445723294]; [-0.40173390130022324, -0.648063217426214, -0.06270641408318789, -0.04853294175685785, 0.07339761556329294, -0.44369203649201516, 0.39484699704554616]; [-0.041986180343359436, -1.4629929567267936, 0.38351732555101226, -0.12625398621409079]
DoubleProductOfTwo; [0.9330490237211535, 0.988924088063293, -0.4609195236768575, -0.19392559750795657, 0.3978932976965137, 0.22189782813120784]; [-0.08739022804429397]; [-0.08153936695949746]
DoubleSumOfTwo; [0.16977071384883402, 0.09560372408266637, 0.3409274553068309, -0.7326039303335059, 0.18999114721474464, 0.9628322830869294, 0.5347898578084482, 0.2975714036434991]; [-0.9263323658656086, 0.14509130987992402]; [-0.7565616520167746, 0.2406950339625904]
DoubleSumSqrtsOfTwo; [-0.8835321126174791, -0.563052520094562, -0.02673883644519015, 0.04136375024221017, 0.7852927855341361, 0.8430878882213664, 0.9143563620103106]; [0.717765058155517, 0.4099470515342789, 0.4750713684766883, -0.5905700216358687, -0.024039136430968888, 0.7376624822808213, -0.5186847398693817]; [NaN, NaN, NaN, NaN, NaN, 1.77707097230563, NaN]
DoubleSumSqrtsOfTwo; [0.38285491511892866, -0.13599921146320826, -0.8599741356216803, 0.1470326493336045]; [-0.48147093318581335, 0.4816783092195902, 0.27338348506906995]; [NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.2465982429291802, -0.3096543668755589]; [-0.44051640461604613, -0.638087520721544, 0.8043024236037151, 0.7470510349343018, -0.5203344507772023, 0.7040067836006605, -0.012324045467162481, 0.5968635161393065, 0.1598758319375737]; [NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.04229759749958317]; [0.1407697328304467, 0.27355431334469404, 0.5343178004920026, 0.7784452776910178, -0.18952119735589257, -0.5354791198296085, -0.7557209517867538, 0.46258302359174275, 0.027201391580800927]; [NaN]
DoubleSumSqrtsOfTwo; [-0.1572893446781094]; [0.589377101455588, -0.6074598963564297]; [NaN]
DoubleProductOfTwo; [0.07182843578881215, -0.5319194613370375, 0.7928025024347694]; [-0.715285713359719, 0.49426047216332925, 0.5106072496685639]; [-0.05137785393271327, -0.2629067641133079, 0.4048107052985725]
DoubleProductOfTwo; [0.19829616433289932, -0.49129051456146744, 0.24435357650533795, 0.5956899948921193]; [-0.8564494843800774, -0.9234006475202368, 0.4343975085230487]; [-0.1698306476974587, 0.45365797926660933, 0.10614658483261498]
