Predicate; Input array; Output array
IsNotNaN; [-0.5884362351108405, 0.8780217087734008, 0.7557178824250048, NaN, NaN, -0.8725881270603797]; [-0.5884362351108405, 0.8780217087734008, 0.7557178824250048, -0.8725881270603797]
IsNotNaN; [0.30249073207571353, NaN, NaN, -0.41849523530466626, 0.1825719412341229]; [0.30249073207571353, -0.41849523530466626, 0.1825719412341229]
DivisibleByTwo; [0.1273067961988512, 0.9465154454744933, 0.8343284813513172, -0.7585809533810624, -0.6943805231085769, 0.33107260404888805, 0.20561179944242736, 0.9381490473589942]; []
IsNotNaN; [NaN, -0.07705087105719821, 0.69334752357962, NaN]; [-0.07705087105719821, 0.69334752357962]
DivisibleByTwo; [-0.05715129259301954, 0.25277836170587165, 0.040988942771667425, -0.6174570509419699, -0.7289384157706436, 0.1811610739618077, 0.7569875921808531, -0.7994106288682568]; []
DivisibleByTwo; [-0.790386037760211, -0.8766489737676557, 0.7778953093066538, 0.7821325050729062, 0.48907615169762386]; []
IsNotNaN; [0.8041479351575553, 0.13226926707273945, 0.8439846566473932, 0.8810262394265505]; [0.8041479351575553, 0.13226926707273945, 0.8439846566473932, 0.8810262394265505]
IsPositive; [-0.8326746623373864, -0.558865929867395, 0.9001675208061155, -0.8152846004997503, -0.28568713527048484, -0.6182282161621164, -0.8633746907196342, -0.7871418837992423]; [0.9001675208061155]
IsPositive; [0.5097434491930939, 0.3451245169871284, 0.26472261848326983, -0.7617222892566466, 0.3668647396962732, 0.4331118138304091, -0.7535899402569759]; [0.5097434491930939, 0.3451245169871284, 0.26472261848326983, 0.3668647396962732, 0.4331118138304091]
IsNotNaN; [-0.5645960685137128, NaN, -0.32932123996666407, -0.7219183008414352, 0.7353848647815846]; [-0.5645960685137128, -0.32932123996666407, -0.7219183008414352, 0.7353848647815846]
DivisibleByTwo; [0.3412889364001763, 0.848408179611549, 0.22678888882630632, -0.7891590556558712, -0.3519675523362684]; []
IsNotNaN; [0.7650446512921993, NaN, 0.6160546194388505, NaN, NaN, NaN, 0.030654302833474256]; [0.7650446512921993, 0.6160546194388505, 0.030654302833474256]
IsPositive; [-0.3759300439645592, 0.7667782915986607, -0.409784210837431, -0.3103818190587322, 0.8429023825208657, -0.3589601100933364]; [0.7667782915986607, 0.8429023825208657]
DivisibleByTwo; [0.5173592963692495, 0.02968735389677879, 0.8407516622864477, -0.3429924209520536]; []
IsNotNaN; [-0.3896546666281506, 0.7420447217460209, NaN, -0.6886513525125317, -0.6972157016627754]; [-0.3896546666281506, 0.7420447217460209, -0.6886513525125317, -0.6972157016627754]
DivisibleByTwo; [0.19338109730549236, 0.6769287827547323]; []
IsPositive; [-0.6613497686976002, 0.4557715504590998, 0.9622357099468262, -0.8550537630438801, 0.6153869872716977, -0.6932495701255001]; [0.4557715504590998, 0.9622357099468262, 0.6153869872716977]
IsPositive; [0.43476406095633835, -0.5299386469849914, 0.8451482612659291, 0.47504123658809827, 0.41385149356174367]; [0.43476406095633835, 0.8451482612659291, 0.47504123658809827, 0.41385149356174367]
IsPositive; [-0.9662490352896753, 0.538613732901553, 0.4716061310545272, 0.5177562366420594, -0.8796763733233917, 0.28028151893251496, 0.4047616707652957]; [0.538613732901553, 0.4716061310545272, 0.5177562366420594, 0.28028151893251496, 0.4047616707652957]
DivisibleByTwo; [0.7792325904596533, 0.4542409459165595]; []
IsNotNaN; [-0.43503075233901245, 0.1301912130184797, -0.696651750721619, 0.15918622445912, NaN, 0.9627497072947941]; [-0.43503075233901245, 0.1301912130184797, -0.696651750721619, 0.15918622445912, 0.9627497072947941]
DivisibleByTwo; [-0.8980218876700279, 0.5581308294278249]; []
IsNotNaN; [0.3099873009057341]; [0.3099873009057341]
IsNotNaN; [0.24919370974157484, NaN]; [0.24919370974157484]
IsNotNaN; [NaN, 0.7721987316754797]; [0.7721987316754797]
IsPositive; [0.5951118037345207, -0.24525585401903638]; [0.5951118037345207]
IsNotNaN; [-0.6287559961035218, -0.6736077476445832]; [-0.6287559961035218, -0.6736077476445832]
DivisibleByTwo; [-0.6540317011767478, -0.038641689915132726, 0.16041607451414208, 0.6129120576978455, 0.04131692381381824, 0.35882411803986103, -0.5245625738870843, -0.5662556876594869]; []
IsPositive; [0.9928793073703313, -0.19175808061929, -0.2566141840624159]; [0.9928793073703313]
DivisibleByTwo; [-0.42769956146486643, 0.8813251860952576, -0.11792610816564908, 0.9792225730842605, 0.4236951667103599, -0.6767690013326959, -0.3158525473446092, 0.9696687447355086, 0.900181198409088]; []
DivisibleByTwo; [-0.2711651316068535, -0.3582556175121414, 0.06614554696070152, 0.4924159943380715]; []
DivisibleByTwo; [0.45284644206934566, 0.28814780587492006, -0.4529548092878848]; []
DivisibleByTwo; [0.5957523752429152, 0.23470972976070548, 0.43878353003734927, -0.09001182272519914, -0.7482384780657698, -0.7686407437635518, -0.6386404550487093, -0.8323844934316951, -0.6912899171095706]; []
DivisibleByTwo; [-0.43535030780793926, -0.4498292108648829, -0.7541471335206511, -0.32926852644703564, -0.7627210530010242]; []
IsPositive; [0.5370046766123509, 0.9214755369538297, -0.21605511168348523]; [0.5370046766123509, 0.9214755369538297]
IsNotNaN; [NaN, NaN, NaN, 0.7987924187523456]; [0.7987924187523456]
DivisibleByTwo; [0.4308936978393685, 0.3258476760109539, -0.5126307142366429, 0.9513799133929024, 0.9319322199609366, -0.5232037787711339, 0.9708582668335, -0.3773773864109049, -0.620927667341906]; []
IsPositive; [-0.7864283364829443, -0.3606181854906254, 0.26251287178435856, 0.5945461887556913, 0.20086096401851528, 0.2401951915852727]; [0.26251287178435856, 0.5945461887556913, 0.20086096401851528, 0.2401951915852727]
IsPositive; [0.9078420784503107, -0.5339717789761911, -0.6533449622150473, -0.8912651839910049, 0.37522500390901214, 0.23181156299108796, 0.6728212307167829, -0.8796967713830968, 0.37729058140801497]; [0.9078420784503107, 0.37522500390901214, 0.23181156299108796, 0.6728212307167829, 0.37729058140801497]
IsNotNaN; [-0.9958923050579858, -0.21668812360596146, 0.3397469276421139]; [-0.9958923050579858, -0.21668812360596146, 0.3397469276421139]
IsPositive; [0.788418509500316, -0.16844472422799672, 0.32533211706701604, -0.09052950582889197, -0.922583975581029, -0.3413346847915042, 0.7860583797307583, 0.17902189897023124, -0.47195350126318614]; [0.788418509500316, 0.32533211706701604, 0.7860583797307583, 0.17902189897023124]
IsPositive; [-0.09092918784545345, -0.2727368951677063, -0.14512465171889222, -0.7156645608804302]; []
IsNotNaN; [0.10108836266673493, -0.8675326865955368, -0.9630735753463462, 0.48609606308940356]; [0.10108836266673493, -0.8675326865955368, -0.9630735753463462, 0.48609606308940356]
IsPositive; [-0.10175874272857599, 0.9260080735063323, -0.5913922851211673, 0.8011317004858494, 0.3040336523948022, 0.9206740510681921, -0.4395791382354872, 0.5140887103696932, 0.32940524316745035]; [0.9260080735063323, 0.8011317004858494, 0.3040336523948022, 0.9206740510681921, 0.5140887103696932, 0.32940524316745035]
DivisibleByTwo; [-0.5396726249457096, 0.4520744143538944, 0.9979478521840597, 0.3929384053909899]; []
IsPositive; [0.8461957408034122]; [0.8461957408034122]
DivisibleByTwo; [-0.6436951638515926, 0.8726594654837088, -0.041971662697544154, 0.2702848694746207, 0.2778508149646488, 0.44644168994583655]; []
DivisibleByTwo; [0.46786829068485636, -0.573373592821804, 0.8039403757868309, 0.13877776378746787, -0.4917567722078655, 0.23084199195868238]; []
IsPositive; [-0.3819588830467502, 0.500163614380492, 0.30976450655338583, 0.15077071913192763, -0.5034848728438541, 0.17217243692647277, 0.19531992214073313, 0.5356715259218487, -0.4917900219026379]; [0.500163614380492, 0.30976450655338583, 0.15077071913192763, 0.17217243692647277, 0.19531992214073313, 0.5356715259218487]
DivisibleByTwo; [-0.32758074783093005, 0.38515332669332647, -0.971221345349272, -0.6500918713775037, -0.757476901508227, -0.3088704619464553, 0.6577538232350721, 0.275948047870179, 0.16318055740724846]; []
DivisibleByTwo; [0.06337957769805613, -0.48015637152608015, 0.9182204435486805, 0.9189808701245872, 0.6966635140307191, 0.11331759458767987, 0.44313368680774023]; []
IsNotNaN; [0.38660657911735763, -0.5395728094320267, 0.31402653731313634]; [0.38660657911735763, -0.5395728094320267, 0.31402653731313634]
IsPositive; [-0.04496629170234079, -0.1764191700920703, -0.21432891182655056, 0.7556878473975888, -0.16904657664597367, -0.14926216978599216, -0.17661067921710982, -0.055231517460506696]; [0.7556878473975888]
IsPositive; [-0.2405417727435264, -0.1498920535144923, 0.6834775434563065]; [0.6834775434563065]
IsPositive; [0.8256037647519656, -0.34325620268813584, -0.7590746901668524, -0.1303499081193471, 0.7086541628844332, -0.6539658978010838]; [0.8256037647519656, 0.7086541628844332]
DivisibleByTwo; [0.9499804453682559, 0.6450453079375544, 0.48456861105620264]; []
IsPositive; [0.9117170676643096, -0.9414421092083693, -0.0051589319819200785, 0.8689890100340405, -0.022452956988107786, -0.9132883890904504, -0.9036589808911681, -0.9422054378176363]; [0.9117170676643096, 0.8689890100340405]
DivisibleByTwo; [0.8086328527492517, 0.6666497648370386, 0.7636343465456668, 0.6197523129821807, -0.9001782340414697, 0.4605134190665072]; []
IsPositive; [0.2030707749664824, 0.7133044116845177, -0.4115208806749322, 0.09385089749562159, 0.5974353015663421, -0.2135115049485703, -0.7824442559099316, -0.3953954607519816, -0.4691544067788509]; [0.2030707749664824, 0.7133044116845177, 0.09385089749562159, 0.5974353015663421]
IsNotNaN; [NaN, 0.4752239179578137, NaN, 0.07303709302714378, -0.25930027177969883, -0.24974499101448444, -0.5452156132666237, NaN]; [0.4752239179578137, 0.07303709302714378, -0.25930027177969883, -0.24974499101448444, -0.5452156132666237]
IsNotNaN; [NaN, 0.06770120676197555, -0.7061184553933475]; [0.06770120676197555, -0.7061184553933475]
IsNotNaN; [NaN, 0.5043018549506402, 0.40733534957640294, -0.006163207857728947, 0.5250100571689276, 0.6257216800908074, 0.9576929506868088, -0.16254695422380383, 0.9149153829342858]; [0.5043018549506402, 0.40733534957640294, -0.006163207857728947, 0.5250100571689276, 0.6257216800908074, 0.9576929506868088, -0.16254695422380383, 0.9149153829342858]
DivisibleByTwo; [0.520706340217697, -0.8785489606306998, 0.5723249843411822]; []
IsNotNaN; [NaN, NaN, 0.8632698698048138]; [0.8632698698048138]
IsPositive; [-0.7164014641567578, -0.7656750942977151, -0.9309094631388659, 0.07911320102703101, -0.49265924708764475, 0.19825737164729884, 0.5281567895749952]; [0.07911320102703101, 0.19825737164729884, 0.5281567895749952]
IsPositive; [-0.9335463056533699, 0.203477174534072, -0.3991561304780975, -0.20158078952310454, -0.11233861496610054, -0.9392298428773493, 0.29709735299761597, 0.5535960373716995]; [0.203477174534072, 0.29709735299761597, 0.5535960373716995]
IsNotNaN; [NaN, -0.7276736767024388, -0.783935360732952, 0.3577794430554211, 0.4176495922373502, 0.3986385730126445]; [-0.7276736767024388, -0.783935360732952, 0.3577794430554211, 0.4176495922373502, 0.3986385730126445]
IsPositive; [0.24195427612633869, 0.7456372172519163, -0.11779501201269982, 0.22618150225236167, 0.2465950195904243, -0.40040880896611863, -0.6402899363283658, -0.3669031057996939]; [0.24195427612633869, 0.7456372172519163, 0.22618150225236167, 0.2465950195904243]
IsNotNaN; [-0.9842820609343017, 0.5669517172160763, NaN, 0.3895197525442968, -0.006804076782602753]; [-0.9842820609343017, 0.5669517172160763, 0.3895197525442968, -0.006804076782602753]
IsPositive; [0.33225685376429226, 0.034957155240671556, 0.5486123485718866, 0.26151337327725477, 0.4448267141146778, 0.4935407468254107, -0.374611679708869]; [0.33225685376429226, 0.034957155240671556, 0.5486123485718866, 0.26151337327725477, 0.4448267141146778, 0.4935407468254107]
IsNotNaN; [0.9833816848726211, 0.09881154691989891, 0.49799377129949196, 0.11392546333227704, -0.35144480546625445, -0.227222750588705, -0.16267744144260088, NaN, NaN]; [0.9833816848726211, 0.09881154691989891, 0.49799377129949196, 0.11392546333227704, -0.35144480546625445, -0.227222750588705, -0.16267744144260088]
DivisibleByTwo; [0.9581367066847934, 0.4715826002056416, -0.6186634339183306, -0.5299424457411712, 0.340502355398816, 0.7111221513835129, -0.5695760000463796]; []
DivisibleByTwo; [0.770662435238382, -0.25470013336143604, -0.8479547929747779, 0.8748833096872908, 0.1372622119302369, -0.08125108802896475, -0.13472957609904945, -0.5842622346247717, 0.2996671554809822]; []
IsPositive; [0.787582979861198, -0.5755491162617583, 0.06897301094839925, 0.7336471969977887, -0.7743550752533077, -0.2415873736127565]; [0.787582979861198, 0.06897301094839925, 0.7336471969977887]
IsNotNaN; [0.7885295973135036, -0.18949083802076805, -0.447238452975244]; [0.7885295973135036, -0.18949083802076805, -0.447238452975244]
IsNotNaN; [0.5266582674244638, NaN, -0.706621135956168, NaN, 0.7418746030796237]; [0.5266582674244638, -0.706621135956168, 0.7418746030796237]
IsNotNaN; [-0.2470123215634632, 0.6590083246831802]; [-0.2470123215634632, 0.6590083246831802]
DivisibleByTwo; [0.20619720611909798, -0.29872806030118504, -0.9742713991552123, -0.0319304734844974, 0.41559171839456255]; []
DivisibleByTwo; [-0.06102479291116536, 0.3123339991367542, 0.5635372044923301, 0.5533065661188201, -0.12542371227935978]; []
IsPositive; [0.5943516816256886, 0.7459029214134141, 0.5406310755640278, -0.8916522617589067, 0.020100277220479468]; [0.5943516816256886, 0.7459029214134141, 0.5406310755640278, 0.020100277220479468]
DivisibleByTwo; [0.755604011363074, 0.34396809087249713, 0.9015099278306367, -0.30912503333088526, -0.11280907293746534, -0.8937481263095506]; []
IsNotNaN; [0.28033236752281243, NaN, 0.36639807486975284, -0.5845696629379713, 0.4157422419828516]; [0.28033236752281243, 0.36639807486975284, -0.5845696629379713, 0.4157422419828516]
IsNotNaN; [0.9963013764719117, -0.2595770928186405, -0.7266957322934653]; [0.9963013764719117, -0.2595770928186405, -0.7266957322934653]
IsPositive; [0.45550271134617026, -0.6493150080587982, -0.03664070643230044, 0.6502835462282839, 0.8239150449035149, -0.39916862446348733, -0.8971287625144113]; [0.45550271134617026, 0.6502835462282839, 0.8239150449035149]
IsNotNaN; [-0.35361579295834455, -0.8456116446026285, -0.5072299267472589, 0.6508346462826113, NaN, -0.5168879800711406, -0.04057647650424445, -0.21018571626571858]; [-0.35361579295834455, -0.8456116446026285, -0.5072299267472589, 0.6508346462826113, -0.5168879800711406, -0.04057647650424445, -0.21018571626571858]
DivisibleByTwo; [-0.7457952883429668, -0.8925436130224436, 0.6333204137931516, -0.3511157997499128, 0.13300575233570044, -0.3993822357380348, -0.2496905390173274]; []
IsNotNaN; [NaN, -0.2760625430162118, 0.8744141379295483, -0.6242680944908379, NaN, NaN, -0.10497021804464368, 0.738025011729122, 0.17649746611396644]; [-0.2760625430162118, 0.8744141379295483, -0.6242680944908379, -0.10497021804464368, 0.738025011729122, 0.17649746611396644]
IsNotNaN; [0.3760858593720475, 0.6818956457174397, -0.8792538459725034, 0.6678925338783439, -0.7383919908155767, -0.4422146601348087]; [0.3760858593720475, 0.6818956457174397, -0.8792538459725034, 0.6678925338783439, -0.7383919908155767, -0.4422146601348087]
IsPositive; [-0.7574790624282979]; []
DivisibleByTwo; [-0.5782593173914903, 0.46645336450497443]; []
DivisibleByTwo; [-0.7314053244978651, 0.34543655423212494, 0.39213162676745417]; []
DivisibleByTwo; [0.9733599369975485, -0.4458341158661523, -0.6840851360639526, -0.6937411308074364, -0.6982311394571878]; []
IsPositive; [0.026906050820629135, 0.07811716216676379, -0.036836656895916864]; [0.026906050820629135, 0.07811716216676379]
IsNotNaN; [-0.46562532474772, -0.19715857581494256]; [-0.46562532474772, -0.19715857581494256]
DivisibleByTwo; [0.22844753994891898, 0.059723413734963815]; []
DivisibleByTwo; [-0.5444682885432512, -0.7698611341309605, -0.5792632437230567, 0.5813060741848122, 0.5112950626111248, 0.27301753708491305, 0.3652055616967955, 0.9136339604319008]; []
IsNotNaN; [0.8106391518815603]; [0.8106391518815603]
IsPositive; [-0.3656370753341822, 0.47032084608441105, -0.7359352674341804, -0.2903367755728703, 0.5382474439563829, 0.13517349926296007, 0.7246187144624057]; [0.47032084608441105, 0.5382474439563829, 0.13517349926296007, 0.7246187144624057]
DivisibleByTwo; [-0.34464168457057864, -0.7560481540152921, 0.4910242448256108, -0.6342678389209866, -0.08722388890360722, 0.8259715877832396, 0.9941769451141773, 0.11885331660472853]; []
IsNotNaN; [-0.44079446651428644, -0.47011512031154634, -0.31164388521918607, 0.8876405313679712, -0.29877087844252537, 0.10184714938987516, 0.1832806016606956]; [-0.44079446651428644, -0.47011512031154634, -0.31164388521918607, 0.8876405313679712, -0.29877087844252537, 0.10184714938987516, 0.1832806016606956]
DivisibleByTwo; [-0.6783398993860383, -0.7447046596580094, -0.11013012502497643, -0.5628592872267488, -0.006875481332990541, 0.829711145587837, -0.7720697561427039, -0.7157978343985543, 0.3363506861000938]; []
DivisibleByTwo; [-0.7442782230165477, -0.36064985347807266, 0.3147756402566979, -0.35874111853768764, -0.862387183722765]; []
IsPositive; [-0.26622692975100315, -0.8066941860462185, 0.6363743008521416, -0.5734658835383046, -0.6775422762561176, -0.20864918943030486, -0.2465671562939442]; [0.6363743008521416]
IsNotNaN; [NaN, -0.7605012281918351, 0.6157368689435074, 0.03483399558599509, 0.24887054194325242]; [-0.7605012281918351, 0.6157368689435074, 0.03483399558599509, 0.24887054194325242]
